날,첫시간A,R8,R10,R12,R14,하루RHE
7주기 휴일 직후,86.7,90,84,79,71,10.99
7주기 휴일 직전,82.0,89,83,77,69,10.33
26주기 휴일 직후,86.7,90,84,79,72,11.05
26주기 휴일 직전,82.0,89,83,78,70,10.37
