날,첫시간A,R8,R10,R12,R14,하루RHE
7주기 휴일 직후,80.2,90,84,78,70,10.13
7주기 휴일 직전,75.8,89,83,77,68,9.51
26주기 휴일 직후,80.3,90,84,79,71,10.18
26주기 휴일 직전,75.8,90,83,78,69,9.54
