주기,첫시간A,하루RHE,9~14시간째비중,첫시간A_p10,첫시간A_p90,하루RHE_p10,하루RHE_p90
1,73.2,9.19,0.375,65.3,80.3,7.57,9.86
2,68.7,8.53,0.371,55.7,76.8,6.34,9.37
3,69.1,8.58,0.371,55.1,77.0,6.25,9.43
4,69.5,8.63,0.371,55.4,77.3,6.26,9.47
5,69.7,8.67,0.372,55.7,77.5,6.28,9.49
6,69.8,8.69,0.373,55.9,77.6,6.31,9.52
7,69.8,8.71,0.373,56.0,77.7,6.33,9.54
8,69.8,8.72,0.374,56.1,77.7,6.34,9.55
9,69.8,8.73,0.374,56.1,77.8,6.35,9.56
10,69.8,8.73,0.374,56.1,77.9,6.35,9.57
11,69.9,8.74,0.374,56.2,78.0,6.36,9.57
12,69.9,8.74,0.374,56.2,78.0,6.36,9.57
13,69.9,8.74,0.375,56.2,78.0,6.36,9.57
14,69.9,8.74,0.375,56.2,78.0,6.36,9.58
15,69.9,8.75,0.375,56.2,78.0,6.36,9.58
16,69.9,8.75,0.375,56.2,78.0,6.36,9.58
17,69.9,8.75,0.375,56.2,78.0,6.36,9.59
18,69.9,8.75,0.375,56.2,78.0,6.36,9.59
19,69.9,8.75,0.375,56.2,78.0,6.36,9.59
20,69.9,8.75,0.375,56.2,78.0,6.36,9.59
21,69.9,8.75,0.375,56.2,78.0,6.36,9.59
22,69.9,8.75,0.375,56.2,78.0,6.36,9.6
23,69.9,8.75,0.375,56.2,78.0,6.37,9.6
24,69.9,8.75,0.375,56.2,78.0,6.37,9.6
25,69.9,8.75,0.375,56.2,78.0,6.37,9.6
26,69.9,8.75,0.375,56.2,78.0,6.37,9.6
