주기,첫시간A,하루RHE,9~14시간째비중,첫시간A_p10,첫시간A_p90,하루RHE_p10,하루RHE_p90
1,83.3,10.56,0.376,76.6,89.4,9.01,11.23
2,82.1,10.32,0.373,74.4,88.7,8.66,11.06
3,82.8,10.4,0.373,74.4,89.4,8.69,11.11
4,83.2,10.47,0.374,74.6,89.9,8.72,11.17
5,83.5,10.52,0.374,74.7,90.2,8.76,11.24
6,83.6,10.55,0.375,74.7,90.4,8.81,11.29
7,83.6,10.56,0.375,74.7,90.5,8.85,11.31
8,83.7,10.58,0.376,74.8,90.6,8.86,11.31
9,83.7,10.59,0.376,74.9,90.6,8.87,11.32
10,83.7,10.59,0.376,75.0,90.7,8.87,11.34
11,83.7,10.6,0.377,75.0,90.7,8.88,11.34
12,83.7,10.6,0.377,75.1,90.8,8.88,11.35
13,83.7,10.6,0.377,75.1,90.8,8.88,11.36
14,83.7,10.61,0.377,75.1,90.8,8.89,11.37
15,83.7,10.61,0.377,75.1,90.8,8.89,11.37
16,83.7,10.61,0.377,75.1,90.8,8.89,11.37
17,83.7,10.61,0.377,75.1,90.8,8.89,11.38
18,83.7,10.61,0.377,75.1,90.8,8.89,11.38
19,83.7,10.61,0.377,75.1,90.8,8.89,11.38
20,83.7,10.61,0.377,75.1,90.8,8.89,11.38
21,83.7,10.61,0.377,75.1,90.8,8.89,11.38
22,83.7,10.61,0.377,75.1,90.8,8.89,11.38
23,83.7,10.61,0.377,75.1,90.8,8.89,11.38
24,83.7,10.61,0.377,75.1,90.8,8.89,11.38
25,83.7,10.61,0.377,75.1,90.8,8.89,11.38
26,83.7,10.61,0.377,75.1,90.8,8.89,11.38
