날,첫시간A,R8,R10,R12,R14,하루RHE
7주기 휴일 직후,72.4,90,83,78,67,9.08
7주기 휴일 직전,68.4,89,82,77,64,8.51
26주기 휴일 직후,72.5,90,84,79,67,9.13
26주기 휴일 직전,68.4,90,83,77,65,8.54
